CITY,DATE,AGE,PATIENT,DOCTOR,STREET,COUNTRY,EMAIL,SSN,HOSPITAL,ORGANIZATION,IDNUM,PHONE,PROFESSION,ZIP,FAX,IP,PLATE,URL,ACCOUNT,DLN,LICENCE,VIN
Beeskow,2022-07-12,80,Hans-Wilhelm Hendriks,Hertha Wähner,Eigenwilligweg 1/3,Tschechien,isabell19@example.org,566-38-4668,Siegmar Schomber Klinikum,Kallert Dörschner GmbH & Co. KG,3582156,(06148) 58576,Pilot,84220,04631 71215,184.75.158.6,NES-FW-84,https://www.hermighausen.de/,DE56549850642508494605,8741047,10294127,4229510
Emmendingen,1987-06-26,79,"Aleksander, Meister","Gunda, Gieß",Barkholzstr.,Vereinigte Staaten pl.,igroettner@example.net,003-27-4302,"Klinikum Aleksej, Dobes Klinikum",Drubin,4385154,+49(0)6461 134958,Pfleger,11731,09347404051,180.223.161.186,MSH-F-6541,https://www.waehner.net/,101173043,17963930,3956025,13302687
Biedenkopf,1983-04-26,79,D. E. Scholl,Berend Weitzel,Vincent-Zimmer-Ring 701,Kenia,nlindner@example.com,260-87-6199,D. R. Radisch Klinikum,Adolph,19246863,03092 98964,Krankenschwester,21319,+49(0)5231 64618,16.71.100.171,BWL-Q-314,https://www.staude.de/,026420402,5833780,6096408,19952685
Hettstedt,12/29/2021,80,Felix Austermühle,Monja Stroh,Barkholzallee,Elfenbeinküste f.,ramonaladeck@example.org,350-83-6212,Klinikum R. A. Gotthold Rädel Klinikum,Dörschner Bonbach GmbH & Co. KGaA,2925169,+49(0) 982556518,Augenoptiker,28327,+49(0)2212934335,198.169.244.250,MÜ-Y-363,http://pieper.de/,533178651952446271,421665,16032761,22791242
Waldmünchen,11/16/2018,80,Caren Eimer,"Mareile, Kusch",Lotte-Pruschke-Ring,Sambia,bebert@example.net,773-75-7169,H. Conradi Klinikum,Bauer,11575777,+49(0)6225 713978,Pilot,09914,0133226841,133.56.34.202,SL-BI-5633,http://hein.net/,DE83298263767255754334,8074115,13513095,16430143
Angermünde,05/07/1997,79,F. O. Ruppersberger,G. F. Dan Finke,Schollring 0/9,"KoreaSee North, South K.",wulffkathrin@example.net,265-04-5940,Universitätsklinikum R. L. Till Liebelt,Trapp,267856,+49 (0) 2689 803735,Schornsteinfeger,84255,(03917) 233280,205.46.209.230,NR-IK-534,http://www.van.de/,044815109,292917,21334340,16859561
Wertingen,10/05/1970,81,Dominik Scheel,James Meyer,Hertrampfallee,Malta,guelay14@example.net,786-78-9606,Klinikum Freya Schulz Klinikum,Hölzenbecher GmbH & Co. KGaA,16158179,02532 59675,Techniker,10190,09802945752,204.19.107.37,HWI-A-937,http://freudenberger.net/,DE57500349171061130885,5047000,15111576,3536447
Königs Wusterhausen,18.01.2014,80,"Mechtild, Stiebitz",L. N. Wesack,Lars-Flantz-Straße,Kuba,hajobolander@example.com,002-42-6291,Krankenhaus Gabor Sölzer,Schaaf Stiftung & Co. KGaA,23336090,+49(0)7884 720096,Florist,06607,00023 577091,76.186.160.186,SPN-T-239,https://stey.com/,100818778,4429848,2006351,15668260
Rothenburg ob der Tauber,07/20/2002,80,S. T. Staude,"Franz-Peter, Gieß",Ullrichplatz 66,Irak m.,hans-gerhardneuschaefer@example.com,395-35-8024,"Mark, Faust Klinikum",Fiebig,4355518,+49 (0) 6074 491598,Medizininformatiker,03320,08886 96268,215.113.59.160,HWI-Z-562,https://adolph.org/,805682627182995790,8047043,16732133,19607023
Bad Liebenwerda,04/20/1999,80,Michaela Ruppert,Murat Röhrdanz,Heinz-Wilhelm-Heinz-Straße 5/3,Brasilien,angelo64@example.com,477-86-4894,Gabriela Binner Klinikum,Scheuermann GmbH,15260809,09545 39447,Ausbaufacharbeiter,01680,+49 (0) 7875 101099,209.181.61.203,VS-RH-8,https://www.stolze.de/,DE62696194363270783362,4001188,4268942,5242242
Calw,21.12.1998,79,Franco Seifert,L. E. Ferdinand Mülichen,Aysel-Heydrich-Platz,Tunesien,martinheser@example.org,586-17-1638,Krankenhaus Traute Scholz,Pechel GmbH,9686096,(06851) 11757,Mathematiker,66667,03535933857,202.68.56.172,STA-ND-86,https://schleich.com/,114049575,10382982,17291892,15683768
Hildburghausen,20.07.1988,81,Wally Heß,A. O. Radisch,Gröttnerstraße 8,Namibia,ijungfer@example.org,782-93-0631,Wenzel Schüler Klinikum,Dörr,10454211,(02543) 368085,Drogist,20520,+49(0)3239 88574,217.132.165.192,PI-WV-6,http://etzler.com/,DE65613552968345804845,22100731,9165045,6796441
Vechta,01/18/2008,81,Gerda Heintze,D. N. Säuberlich,Ilja-Rosemann-Straße,Vereinigtes Königreich,klappkarl@example.org,072-04-7335,Krankenhaus Jolanda Matthäi,Faust KG,536455,0939113768,Augenoptiker,99433,(01707) 09087,206.90.25.57,DE-K-672,http://www.mies.de/,079910118,11172212,1124664,456829
Berlin,1982-11-15,81,Z. D. Sigmund Hettner,K. T. Alexandre Bloch,Edeltrud-Wesack-Platz,Argentinien,dowergekkehart@example.org,956-68-5811,Frank-Peter Schacht Klinikum,Hiller,1678755,(03700) 885664,Beamter,04117,05917 37517,163.233.82.50,F-PK-11,http://heydrich.de/,970260436178342287,16067372,20485344,1252862
Wolfratshausen,2020-05-30,80,"Jörg-Peter, Boucsein","Jeannine, Bien",Killerstraße 89,Schottland,amentzel@example.net,078-59-1344,Klinikum R. E. Kroker Klinikum,Schmiedecke GmbH,20940765,(03099) 632120,Programmierer,35206,+49(0)5614 830241,194.16.1.195,ROW-C-73,http://www.misicher.de/,DE62670176927801896352,2481932,20191721,17809546
Arnstadt,2021-10-10,80,R. K. René Heß,Z. Meyer,Stumpfplatz,Ägypten,bodocarsten@example.org,037-47-3214,Krankenhaus E. E. Nette,Pohl Schönland e.V.,5854764,+49 (0) 0536 882153,Informatiker,96068,+49(0)6279 02113,53.21.201.175,LOS-IW-939,http://www.zobel.com/,086680127,18578762,18242539,21783201
Lobenstein,06/21/1985,81,Eckhard Spieß,Ulla Jacobi Jäckel,Spießweg 6/1,Jamaika,gerdischeuermann@example.org,824-04-4913,"Klinikum Julie, Lindau Klinikum",Tschentscher,14286511,08703 887732,Chirurgiemechaniker,25670,03781750286,218.115.188.83,WB-Y-73,https://www.henschel.de/,109299754,13045623,11004849,13226675
Niesky,30.10.1996,81,F. D. Plath,Dariusz Oderwald,Schleichring 70,Venezuela,roskothjolanta@example.org,301-43-9557,"Diethelm, Linke Klinikum",Stumpf,1434014,03052 95018,Drogist,85373,02041 60732,197.51.14.118,PIR-J-861,http://www.hermann.com/,756805146644925001,4545178,2843214,20095500
Halberstadt,03/23/1997,79,Theodoros Schenk,Wigbert Patberg,Werneckestr.,Venezuela,roselindegunpf@example.com,903-68-2714,"Universitätsklinikum Florian, Sager",Scheel,23119160,+49(0)9205 26388,Krankenschwester,99703,+49(0)1898540049,163.29.113.126,AUR-G-7,https://www.graf.com/,126694170,12324239,21753894,23153194
Apolda,09/28/1983,81,Roland Herrmann,Frederic Wende,Jakob-Roskoth-Ring,Schweiz f.,ajacob@example.com,071-55-9040,Klinikum R. Drewes Klinikum,Tlustek,5695266,+49(0)8205 087131,Informatiker,18062,+49(0)3408 879531,128.53.31.71,WND-O-521,https://www.bender.com/,164761384261435826,11502077,14114033,22128807
Recklinghausen,08/07/1995,80,L. O. Mielcarek,Aysel Bloch,Sybilla-Nette-Ring 04,Slowakien,joern10@example.com,978-84-5417,R. I. Kroker Klinikum,Schlosser KG,21747957,08517 228873,Artist,61227,+49(0)4743525401,163.94.104.118,IK-SJ-939,https://scholl.de/,894554362126391054,13188693,19147713,7819145
Illertissen,01/28/1977,80,Z. A. Schäfer,"Lore, Etzler",Raphaela-Kusch-Straße 307,Litauen,schweitzereveline@example.net,812-68-2310,Krankenhaus Sabina Klingelhöfer,Hövel Kabus AG & Co. OHG,19417401,(09522) 479367,Augenoptiker,05114,+49(0)3462 473111,154.89.105.115,D-E-591,http://www.baum.com/,089690088,9748055,9468171,7542354
Weimar,2007-02-19,80,"Ilka, Hartmann",Torsten Eckbauer,Philomena-Junk-Ring,Chile,ekkehardtrubin@example.net,301-46-8685,"Universitätsklinikum Knud, Mielcarek",Thies Stiftung & Co. KG,21203824,+49(0)2958895263,Techniker,52677,02796 218885,146.57.175.87,DEL-VN-744,http://beier.org/,DE25128075870157963147,19144685,2692595,22469187
Borna,2008-01-26,81,Klaus-Ulrich Nohlmans,Saban Wähner,Bärerplatz,Zimbabwe(tsim-BAHB-vay),traudelsauer@example.org,667-92-6540,E. É. Reinhardt Klinikum,Stoll,2675256,0935868877,Krankenschwester,05410,(09658) 36607,215.226.194.224,ABI-G-211,https://taesche.com/,076429327,21211243,3817870,6186753
